Tornado Number per Year,Year,Month,Day,Date,Time,TimeZone,State,State FIPS Number,Number of Tornado per State per Year,Magnitude,Injuries,Fatalities,Property Loss ($),Crop Loss (millions $),Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude,Length (miles),Width (yards),fc
51,1995,3,7,3/7/95,8:20:00,3,LA,22,15,0,0,0,0,0,31.45,-91.83,0,0,0.5,20,0
52,1995,3,7,3/7/95,8:30:00,3,LA,22,16,1,5,0,5,0,31.55,-91.43,0,0,1,30,0
53,1995,3,7,3/7/95,8:30:00,3,LA,22,17,1,0,0,0,0,31.8,-91.4,0,0,0.5,23,0
54,1995,3,7,3/7/95,9:15:00,3,LA,22,18,0,0,0,0,0,29.97,-92.13,0,0,0.3,20,0
55,1995,3,7,3/7/95,10:40:00,3,MS,28,4,0,0,0,3,0,31.22,-89.2,0,0,2,50,0
56,1995,3,7,3/7/95,10:45:00,3,LA,22,19,1,0,0,4,0,30.63,-90.5,0,0,0.5,20,0
57,1995,3,7,3/7/95,10:50:00,3,LA,22,20,1,0,0,5,0,30.5,-90.8,0,0,0.5,30,0
58,1995,3,7,3/7/95,11:08:00,3,MS,28,5,1,1,0,5,0,31.97,-89.45,32,-89.42,3,500,0
59,1995,3,7,3/7/95,11:22:00,3,MS,28,6,0,0,0,0,0,32.05,-89.33,0,0,1,30,0
60,1995,3,7,3/7/95,11:30:00,3,MS,28,7,0,0,0,3,0,32.05,-89.3,0,0,1,33,0
61,1995,3,7,3/7/95,12:17:00,3,MS,28,8,0,0,0,3,0,31,-89.45,0,0,1,40,0
62,1995,3,7,3/7/95,12:54:00,3,MS,28,9,0,0,0,4,0,32.05,-88.73,0,0,2,50,0
63,1995,3,7,3/7/95,13:26:00,3,TN,47,3,0,0,0,4,0,36.48,-86.32,0,0,0.2,10,0
64,1995,3,7,3/7/95,15:03:00,3,AL,1,4,0,0,0,5,0,33.42,-87.62,0,0,2,80,0
65,1995,3,7,3/7/95,16:45:00,3,AL,1,5,0,0,0,4,0,34.3,-86.78,0,0,1.5,80,0
66,1995,3,7,3/7/95,17:10:00,3,AL,1,6,0,0,0,4,0,34.53,-86.6,0,0,1,80,0
67,1995,3,7,3/7/95,19:30:00,3,TN,47,4,0,0,0,4,0,35.02,-85.72,0,0,0.2,10,0
68,1995,3,8,3/8/95,5:40:00,3,FL,12,7,0,0,0,3,0,29.62,-82.82,0,0,0.2,30,0
69,1995,3,8,3/8/95,6:10:00,3,FL,12,8,0,0,0,5,0,28.32,-82.23,28.37,-82.18,4,23,0
70,1995,3,8,3/8/95,6:45:00,3,FL,12,9,0,0,0,0,0,29.3,-82.2,0,0,0.1,10,0
71,1995,3,8,3/8/95,9:53:00,3,SC,45,8,0,0,0,0,0,34.78,-82.27,0,0,0.1,10,0
72,1995,3,8,3/8/95,10:35:00,3,SC,45,9,1,0,0,5,0,34.13,-82.22,0,0,1,30,0
73,1995,3,11,3/11/95,20:45:00,3,OR,41,1,0,0,0,0,0,43.05,-118.73,0,0,0.1,10,0
74,1995,3,12,3/12/95,15:55:00,3,TX,48,8,0,0,0,0,0,33.13,-100.45,0,0,0.1,10,0
75,1995,3,12,3/12/95,16:19:00,3,TX,48,9,0,0,0,0,0,31.8,-101.58,0,0,0.1,10,0
76,1995,3,13,3/13/95,3:19:00,3,TX,48,10,0,0,0,4,0,29.9,-96.88,0,0,0.1,10,0
77,1995,3,13,3/13/95,4:15:00,3,TX,48,11,0,0,0,0,0,29.77,-96.38,0,0,0.1,10,0
78,1995,3,13,3/13/95,4:20:00,3,TX,48,12,0,0,0,4,0,30.15,-96.27,0,0,0.1,10,0
79,1995,3,13,3/13/95,4:35:00,3,TX,48,13,0,0,0,4,0,30.23,-96.43,0,0,0.1,10,0
80,1995,3,13,3/13/95,5:30:00,3,TX,48,14,1,0,0,5,0,29.4,-96.25,0,0,2,50,0
81,1995,3,13,3/13/95,6:17:00,3,TX,48,15,0,0,0,4,0,30.2,-94.8,0,0,0.1,10,0
82,1995,3,13,3/13/95,8:50:00,3,TX,48,16,0,0,0,4,0,29.82,-95.05,0,0,0.1,10,0
83,1995,3,14,3/14/95,18:55:00,3,LA,22,21,0,0,0,0,0,30.08,-93.07,0,0,0.2,20,0
84,1995,3,16,3/16/95,15:00:00,3,LA,22,22,0,0,0,0,0,29.82,-91.8,0,0,0.5,20,0
85,1995,3,19,3/19/95,15:45:00,3,CO,8,1,1,0,0,4,0,37.43,-105.88,0,0,0.1,10,0
86,1995,3,23,3/23/95,20:30:00,3,CA,6,2,0,0,0,0,0,38.23,-121.52,0,0,0.2,10,0
87,1995,3,25,3/25/95,15:03:00,3,KS,20,1,0,0,0,0,0,38.48,-101.33,0,0,2,23,0
88,1995,3,25,3/25/95,15:25:00,3,OK,40,1,1,0,0,5,0,36.57,-100.67,36.58,-100.62,3,100,0
89,1995,3,25,3/25/95,17:10:00,3,TX,48,17,0,0,0,3,0,31.73,-99.95,0,0,0.1,10,0
90,1995,3,25,3/25/95,17:42:00,3,TX,48,18,1,0,0,0,0,36.15,-100.52,36.18,-100.42,5,200,0
91,1995,3,25,3/25/95,17:45:00,3,TX,48,19,0,0,0,0,0,32.77,-96.78,0,0,0.1,10,0
92,1995,3,25,3/25/95,18:15:00,3,OK,40,2,0,0,0,0,0,36.57,-100.28,0,0,0.5,50,0
93,1995,4,4,4/4/95,7:05:00,3,TX,48,20,0,0,0,0,0,28.45,-96.42,0,0,0.1,10,0
94,1995,4,4,4/4/95,10:11:00,3,TX,48,21,0,0,0,3,0,28.7,-96.35,0,0,0.1,10,0
95,1995,4,7,4/7/95,23:00:00,3,FL,12,10,0,0,0,4,0,25.02,-80.52,0,0,0.1,10,0
96,1995,4,8,4/8/95,11:00:00,3,FL,12,11,0,0,0,3,0,25.57,-80.28,0,0,0.1,10,0
98,1995,4,8,4/8/95,17:34:00,3,FL,12,12,0,0,0,3,0,29.78,-82.17,0,0,2,10,0
97,1995,4,8,4/8/95,18:30:00,3,KS,20,2,0,0,0,0,0,39.5,-96.6,0,0,0.1,10,0
99,1995,4,8,4/8/95,18:45:00,3,KS,20,3,0,0,0,5,0,39.77,-95.27,39.75,-94.95,12,100,0
100,1995,4,10,4/10/95,12:05:00,3,TX,48,22,0,0,0,4,0,32.18,-96.88,0,0,0.1,10,0
101,1995,4,10,4/10/95,12:49:00,3,TX,48,23,0,0,0,0,0,29.9,-93.93,0,0,2,200,0
102,1995,4,11,4/11/95,4:15:00,3,MS,28,10,1,0,1,0,0,31.12,-90.05,31.12,-89.95,5,30,0
103,1995,4,11,4/11/95,4:50:00,3,MS,28,11,2,0,0,5,0,31,-90.08,31.25,-89.68,23,500,0
104,1995,4,11,4/11/95,5:15:00,3,MS,28,12,1,0,0,5,0,31.22,-89.5,0,0,2.5,200,0
105,1995,4,11,4/11/95,7:45:00,3,LA,22,23,1,0,0,0,0,30.13,-89.9,0,0,0.3,20,0
106,1995,4,11,4/11/95,10:15:00,3,AL,1,7,1,0,0,4,0,32.52,-86.37,32.53,-86.3,4,100,0
107,1995,4,11,4/11/95,12:00:00,3,AL,1,8,0,0,0,4,0,32.88,-85.18,0,0,1.5,200,0
108,1995,4,12,4/12/95,13:23:00,3,NC,37,6,0,1,0,4,0,35.05,-80.7,0,0,0.5,23,0
109,1995,4,16,4/16/95,13:00:00,3,MO,29,1,1,0,0,5,0,38.32,-92.77,0,0,0.5,100,0
110,1995,4,16,4/16/95,14:40:00,3,OK,40,3,0,0,0,0,0,34.47,-99.18,0,0,0.1,23,0
111,1995,4,16,4/16/95,15:57:00,3,MO,29,2,0,0,0,3,0,38.08,-90.5,0,0,0.1,10,0
112,1995,4,16,4/16/95,16:00:00,3,OK,40,4,1,0,0,4,0,34.45,-98.52,0,0,0.2,33,0
113,1995,4,16,4/16/95,16:50:00,3,OK,40,5,0,0,0,3,0,36.48,-96.05,0,0,0.2,50,0
114,1995,4,17,4/17/95,15:15:00,3,TX,48,24,0,0,0,0,0,34,-99.37,0,0,0.1,20,0
115,1995,4,17,4/17/95,15:37:00,3,TX,48,25,0,0,0,0,0,33.98,-99.25,0,0,0.1,20,0
116,1995,4,17,4/17/95,15:55:00,3,TX,48,26,0,0,0,0,0,34.1,-99.02,0,0,0.1,20,0
117,1995,4,17,4/17/95,16:15:00,3,OK,40,6,0,0,0,0,0,34.18,-98.73,0,0,0.1,30,0
118,1995,4,17,4/17/95,16:15:00,3,TX,48,27,0,0,0,0,0,34.17,-98.75,0,0,0.1,30,0
119,1995,4,17,4/17/95,16:28:00,3,OK,40,7,0,0,0,0,0,34.18,-98.58,0,0,0.1,20,0
120,1995,4,17,4/17/95,16:35:00,3,OK,40,8,0,0,0,0,0,34.17,-98.55,0,0,0.1,20,0
121,1995,4,17,4/17/95,16:56:00,3,OK,40,9,1,0,0,4,0,34.32,-98.23,0,0,2,100,0
122,1995,4,17,4/17/95,17:10:00,3,OK,40,10,1,0,0,2,0,34.37,-98.13,0,0,0.2,30,0
123,1995,4,17,4/17/95,17:22:00,3,OK,40,11,1,0,0,5,0,34.38,-98.02,34.4,-97.92,5,400,0
124,1995,4,17,4/17/95,18:00:00,3,OK,40,12,1,0,0,3,0,34.45,-97.67,0,0,0.1,30,0
125,1995,4,17,4/17/95,18:45:00,3,OK,40,13,0,0,0,0,0,34.63,-97.13,34.67,-97.13,2,20,0
126,1995,4,17,4/17/95,21:00:00,3,OK,40,14,0,0,0,0,0,35.45,-95.95,0,0,0.1,30,0
127,1995,4,17,4/17/95,21:19:00,3,OK,40,15,0,0,0,0,0,35.5,-95.88,0,0,0.1,30,0
128,1995,4,17,4/17/95,21:30:00,3,OK,40,16,0,0,0,0,0,35.57,-95.62,0,0,0.1,30,0
129,1995,4,17,4/17/95,22:14:00,3,OK,40,17,2,0,0,5,0,35.85,-95.3,35.87,-95.22,4.5,123,0
130,1995,4,17,4/17/95,22:32:00,3,OK,40,18,1,0,0,4,0,36.05,-95.1,0,0,0.2,50,0
131,1995,4,17,4/17/95,22:35:00,3,OK,40,19,2,0,0,5,0,35.75,-95.05,35.78,-94.97,7,200,0
132,1995,4,17,4/17/95,23:02:00,3,OK,40,20,1,0,0,5,0,35.78,-94.58,0,0,1,73,0
133,1995,4,17,4/17/95,23:10:00,3,OK,40,21,0,0,0,3,0,36.27,-94.75,0,0,0.1,40,0
134,1995,4,17,4/17/95,23:13:00,3,AR,5,1,1,0,0,4,0,35.87,-94.47,0,0,0.5,73,0
135,1995,4,18,4/18/95,9:45:00,3,IL,17,1,1,0,0,0,0,42.18,-89.6,0,0,0.5,30,0
136,1995,4,18,4/18/95,12:20:00,3,MN,27,1,0,0,0,5,0,43.6,-92.85,0,0,0.1,10,0
137,1995,4,18,4/18/95,13:00:00,3,MN,27,2,0,0,0,0,0,43.7,-92.45,0,0,0.1,10,0
138,1995,4,19,4/19/95,13:51:00,3,TX,48,28,0,0,0,3,0,33.5,-101.85,0,0,0.3,40,0
139,1995,4,19,4/19/95,14:03:00,3,TX,48,29,0,0,0,0,0,32.4,-96.77,0,0,0.1,10,0
140,1995,4,19,4/19/95,14:10:00,3,TX,48,30,0,0,0,0,0,32.53,-96.63,0,0,0.1,10,0
141,1995,4,19,4/19/95,14:20:00,3,TX,48,31,0,0,0,0,0,32.58,-96.53,0,0,0.1,10,0
142,1995,4,19,4/19/95,14:31:00,3,TX,48,32,0,0,0,0,0,32.63,-96.52,0,0,0.1,10,0
143,1995,4,19,4/19/95,14:40:00,3,TX,48,33,1,0,0,5,0,32.65,-96.28,0,0,2,100,0
144,1995,4,19,4/19/95,14:55:00,3,TX,48,34,0,0,0,0,0,33.43,-100.33,0,0,0.1,20,0
145,1995,4,19,4/19/95,15:12:00,3,TX,48,35,1,0,0,0,0,32.72,-96.17,0,0,1,100,0
146,1995,4,19,4/19/95,15:15:00,3,TX,48,36,0,0,0,0,0,32.83,-95.88,0,0,0.1,10,0
147,1995,4,19,4/19/95,16:15:00,3,TX,48,37,0,0,0,0,0,33.13,-95.6,0,0,0.2,30,0
148,1995,4,19,4/19/95,16:30:00,3,TX,48,38,0,0,0,0,0,32.67,-95.72,0,0,0.1,10,0
149,1995,4,19,4/19/95,16:35:00,3,TX,48,39,0,0,0,4,0,33.77,-95.53,0,0,0.1,10,0
150,1995,4,19,4/19/95,16:35:00,3,TX,48,40,0,0,0,0,0,33.35,-95.17,0,0,0.1,10,0
151,1995,4,19,4/19/95,16:46:00,3,TX,48,41,0,0,0,0,0,33.33,-95.05,0,0,0.1,10,0
152,1995,4,19,4/19/95,18:07:00,3,TX,48,42,0,0,0,0,0,34.05,-98.62,0,0,0.1,20,0
153,1995,4,19,4/19/95,18:15:00,3,TX,48,43,0,0,0,0,0,34.1,-98.6,0,0,0.1,20,0
154,1995,4,19,4/19/95,18:40:00,3,OK,40,22,0,0,0,0,0,34.27,-98.02,0,0,0.1,20,0
155,1995,4,19,4/19/95,18:42:00,3,TX,48,44,0,0,0,0,0,32.68,-98.1,0,0,0.1,10,0
156,1995,4,19,4/19/95,18:43:00,3,TX,48,45,0,0,0,0,0,33.53,-98.2,0,0,0.1,20,0
157,1995,4,19,4/19/95,18:48:00,3,TX,48,46,0,0,0,0,0,32.75,-98.02,0,0,0.1,10,0
158,1995,4,19,4/19/95,18:58:00,3,AR,5,2,0,0,0,0,0,34.02,-93.85,0,0,0.1,10,0
159,1995,4,19,4/19/95,19:15:00,3,TX,48,47,0,0,0,0,0,35.85,-101.77,0,0,0.2,20,0
160,1995,4,19,4/19/95,19:20:00,3,AR,5,3,0,0,0,3,0,35.53,-90.42,0,0,0.1,10,0
161,1995,4,19,4/19/95,19:27:00,3,OK,40,23,0,0,0,0,0,34.35,-97.42,0,0,0.1,20,0
162,1995,4,19,4/19/95,19:32:00,3,OK,40,24,0,0,0,0,0,34.2,-97.48,0,0,0.1,20,0
163,1995,4,19,4/19/95,19:40:00,3,TX,48,48,2,0,0,6,0,32.73,-97.32,32.8,-97.33,5,50,0
164,1995,4,19,4/19/95,19:47:00,3,AR,5,4,0,0,0,0,0,33.68,-93.75,0,0,0.1,10,0
165,1995,4,19,4/19/95,19:53:00,3,TX,48,49,0,0,0,0,0,31.45,-98.15,0,0,0.1,10,0
166,1995,4,19,4/19/95,20:02:00,3,TX,48,50,1,8,0,6,0,32.78,-96.92,32.82,-96.73,6,100,0
167,1995,4,19,4/19/95,20:54:00,3,TX,48,51,0,0,0,0,0,32.63,-96.45,0,0,0.1,10,0
168,1995,4,19,4/19/95,21:05:00,3,AR,5,5,0,0,0,3,0,35.48,-90.37,0,0,0.5,10,0
169,1995,4,19,4/19/95,21:15:00,3,TX,48,52,0,0,0,0,0,32.88,-96.5,0,0,0.1,10,0
170,1995,4,19,4/19/95,21:30:00,3,AR,5,6,0,0,0,3,0,35.75,-90.32,0,0,0.5,20,0
171,1995,4,19,4/19/95,21:45:00,3,TN,47,5,0,0,0,3,0,36.27,-89.48,0,0,0.1,10,0
172,1995,4,19,4/19/95,21:50:00,3,AR,5,7,0,0,0,3,0,35.7,-89.97,0,0,0.2,10,0
173,1995,4,19,4/19/95,22:08:00,3,MO,29,3,0,0,0,3,0,36.07,-89.87,36.1,-89.83,5,50,0
174,1995,4,19,4/19/95,22:15:00,3,TX,48,53,0,0,0,0,0,30.25,-98.58,30.27,-98.58,2.5,200,0
175,1995,4,20,4/20/95,1:32:00,3,LA,22,24,2,3,0,5,0,32.85,-91.9,0,0,2,100,0
176,1995,4,20,4/20/95,12:23:00,3,AR,5,8,0,0,0,3,0,35.23,-90.83,0,0,0.1,10,0
177,1995,4,20,4/20/95,13:00:00,3,MS,28,13,1,0,0,5,0,31.93,-90.4,0,0,2,100,0
178,1995,4,20,4/20/95,13:10:00,3,AR,5,9,0,0,0,0,0,33.33,-91.45,33.37,-91.42,2,50,0
179,1995,4,20,4/20/95,14:10:00,3,TX,48,54,0,0,0,5,0,29.73,-95.37,0,0,0.1,10,0
180,1995,4,20,4/20/95,14:15:00,3,TX,48,55,0,0,0,5,0,29.67,-95.02,0,0,0.1,10,0
181,1995,4,20,4/20/95,15:30:00,3,MS,28,14,0,0,0,0,0,33.32,-89.17,0,0,1,50,0
182,1995,4,20,4/20/95,15:55:00,3,LA,22,25,0,0,0,0,0,31.7,-91.83,0,0,1,50,0
183,1995,4,20,4/20/95,16:25:00,3,LA,22,26,0,0,0,0,0,32.08,-91.33,0,0,1,40,0
184,1995,4,20,4/20/95,16:50:00,3,LA,22,27,0,0,0,0,0,32.35,-91.03,0,0,1,50,0
185,1995,4,20,4/20/95,16:55:00,3,MS,28,15,2,0,0,4,0,33.1,-89.05,0,0,1,50,0
186,1995,4,20,4/20/95,17:30:00,3,MS,28,16,2,0,0,4,0,32.48,-90.82,0,0,1,100,0
187,1995,4,20,4/20/95,18:00:00,3,MS,28,17,0,0,0,3,0,34.07,-88.4,0,0,0.1,10,0
188,1995,4,20,4/20/95,18:15:00,3,MS,28,18,2,0,0,5,0,33.3,-88.62,33.58,-88.32,32,100,0
189,1995,4,20,4/20/95,18:45:00,3,MS,28,19,0,0,0,3,0,33.8,-88.73,0,0,0.5,10,0
190,1995,4,20,4/20/95,19:03:00,3,AL,1,9,1,6,0,6,0,33.68,-88.2,33.73,-88.15,4,80,0
191,1995,4,20,4/20/95,19:05:00,3,MS,28,20,0,0,0,3,0,31.38,-91.4,0,0,1,40,0
192,1995,4,20,4/20/95,19:56:00,3,AL,1,10,1,17,0,5,0,34.17,-87.68,34.25,-87.6,6,120,0
193,1995,4,20,4/20/95,22:55:00,3,TN,47,6,1,0,0,5,0,35.13,-86.2,35.17,-86.15,3,30,0
194,1995,4,21,4/21/95,0:18:00,3,TN,47,7,1,1,0,4,0,35.03,-85.55,35.07,-85.45,5,23,0
195,1995,4,21,4/21/95,0:20:00,3,TN,47,8,0,0,0,5,0,35.07,-85.32,0,0,0.1,30,0
196,1995,4,21,4/21/95,0:25:00,3,TN,47,9,2,0,0,5,0,35.15,-85.28,35.05,-85.28,5,330,0
197,1995,4,21,4/21/95,0:30:00,3,TN,47,10,1,0,0,5,0,35.05,-85.28,0,0,1,300,0
198,1995,4,22,4/22/95,4:05:00,3,LA,22,28,0,0,0,0,0,32.72,-91.2,0,0,1.5,50,0
199,1995,4,22,4/22/95,4:30:00,3,MS,28,21,1,0,0,5,0,32.9,-90.7,32.8,-90.57,8,200,0
200,1995,4,22,4/22/95,6:45:00,3,AL,1,11,1,0,0,5,0,33.75,-87.05,0,0,1.5,60,0
201,1995,4,22,4/22/95,13:30:00,3,LA,22,29,0,0,0,0,0,32.48,-92.12,0,0,0.1,30,0
202,1995,4,22,4/22/95,13:45:00,3,LA,22,30,0,0,0,0,0,32.33,-92.23,0,0,0.1,10,0
203,1995,4,22,4/22/95,16:00:00,3,MS,28,22,0,0,0,0,0,31.28,-90.47,0,0,0.1,20,0
204,1995,4,22,4/22/95,16:24:00,3,LA,22,31,0,0,0,0,0,32.32,-93.83,0,0,0.1,30,0
205,1995,4,22,4/22/95,17:05:00,3,AL,1,12,0,0,0,0,0,30.62,-87.75,0,0,0.1,30,0
206,1995,4,22,4/22/95,17:54:00,3,LA,22,32,0,0,0,0,0,31.32,-91.53,0,0,0.1,30,0
207,1995,4,22,4/22/95,17:54:00,3,LA,22,33,0,0,0,0,0,31.75,-93.08,0,0,0.1,30,0
208,1995,4,22,4/22/95,18:05:00,3,MS,28,23,0,0,0,0,0,31.25,-90.45,31.25,-90.38,5,20,0
209,1995,4,22,4/22/95,18:10:00,3,MS,28,24,0,0,0,0,0,30.33,-89.62,0,0,0.1,20,0
210,1995,4,22,4/22/95,18:25:00,3,MS,28,25,0,0,0,3,0,31.38,-90.33,0,0,1,40,0
211,1995,4,22,4/22/95,18:45:00,3,LA,22,34,1,0,0,0,0,31.77,-92.38,0,0,0.1,10,0
212,1995,4,23,4/23/95,3:50:00,3,LA,22,35,1,0,0,4,0,29.83,-91.53,0,0,0.5,20,0
213,1995,4,23,4/23/95,4:35:00,3,LA,22,36,0,0,0,0,0,29.83,-90.97,0,0,0.1,10,0
214,1995,4,23,4/23/95,11:17:00,3,FL,12,13,0,0,0,0,0,30.53,-86.5,0,0,0.1,50,0
215,1995,4,23,4/23/95,12:20:00,3,MS,28,26,0,0,0,0,0,30.4,-88.9,0,0,0.3,23,0
216,1995,4,23,4/23/95,19:30:00,3,AL,1,13,0,0,0,0,0,31.03,-87.5,0,0,0.1,30,0
217,1995,4,24,4/24/95,8:20:00,3,FL,12,14,2,5,0,6,0,29.65,-81.73,29.75,-81.52,10,350,0
218,1995,4,25,4/25/95,12:38:00,3,ID,16,1,0,1,0,5,0,43.2,-112.38,0,0,0.2,50,0
219,1995,4,25,4/25/95,13:45:00,3,ID,16,2,0,0,0,4,0,43.02,-112.47,0,0,0.2,50,0
220,1995,4,29,4/29/95,18:35:00,3,TX,48,56,0,0,0,0,0,33.63,-96.58,0,0,0.1,10,0
221,1995,4,30,4/30/95,15:57:00,3,FL,12,15,0,3,0,4,0,26.23,-80.12,0,0,0.1,10,0
222,1995,4,30,4/30/95,20:55:00,3,MS,28,27,0,0,0,3,0,34.13,-88.85,0,0,0.5,10,0
1340,1995,5,1,5/1/95,14:45:00,3,PR,72,1,0,0,0,0,0,18.41,-66.11,18.41,-66.11,0,10,0
223,1995,5,1,5/1/95,16:30:00,3,SC,45,10,0,0,0,3,0,34.87,-82.82,0,0,1,30,0
